"","hour","hour_numeric","avg_daily_entries","avg_daily_exits"
"1","4:00 AM",4,1130,38
"2","5:00 AM",5,8585,4139
"3","6:00 AM",6,21675,14674
"4","7:00 AM",7,44715,33837
"5","8:00 AM",8,58223,58675
"6","9:00 AM",9,30098,42354
"7","10:00 AM",10,17546,19870
"8","11:00 AM",11,16697,16554
"9","12:00 PM",12,17857,17560
"10","1:00 PM",13,18727,18202
"11","2:00 PM",14,22385,19918
"12","3:00 PM",15,33016,27554
"13","4:00 PM",16,49550,41078
"14","5:00 PM",17,62576,60592
"15","6:00 PM",18,37411,49612
"16","7:00 PM",19,19386,24527
"17","8:00 PM",20,12762,14601
"18","9:00 PM",21,10463,10726
"19","10:00 PM",22,7924,8927
"20","11:00 PM",23,3177,5740
"21","12:00 AM",0,762,1648
"22","1:00 AM",1,93,368
"23","2:00 AM",2,18,32
"24","3:00 AM",3,12,20
