"","status","total","drive_alone","carpool","public_transit"
"25","Native",82.8,84.8,74.1,64.8
"26","Foreign born",17.2,15.2,25.9,35.2
"27","Naturalized U.S. citizen",9.1,8.5,10.9,16.8
"28","Not a U.S. citizen",8,6.7,15,18.3
