"","date","daily_entries"
"1",2018-01-01,395222
"2",2018-02-01,413949
"3",2018-03-01,408861
"4",2018-04-01,413030
"5",2018-05-01,416795
"6",2018-06-01,420286
"7",2018-07-01,412410
"8",2018-08-01,415370
"9",2018-09-01,432971
"10",2018-10-01,426828
"11",2018-11-01,399129
"12",2018-12-01,385570
"13",2019-01-01,395859
"14",2019-02-01,407339
"15",2019-03-01,409515
"16",2019-04-01,414411
"17",2019-05-01,412165
"18",2019-06-01,413525
"19",2019-07-01,401464
"20",2019-08-01,410853
"21",2019-09-01,426757
"22",2019-10-01,420288
"23",2019-11-01,411182
"24",2019-12-01,376552
"25",2020-01-01,388921
"26",2020-02-01,404553
"27",2020-03-01,166577
"28",2020-04-01,25141
"29",2020-05-01,29878
"30",2020-06-01,40993
"31",2020-07-01,45637
"32",2020-08-01,46020
"33",2020-09-01,48837
"34",2020-10-01,53254
"35",2020-11-01,52196
"36",2020-12-01,45893
"37",2021-01-01,43011
"38",2021-02-01,47664
"39",2021-03-01,51595
"40",2021-04-01,57885
"41",2021-05-01,64933
"42",2021-06-01,75962
"43",2021-07-01,83491
"44",2021-08-01,92401
"45",2021-09-01,103176
"46",2021-10-01,108644
"47",2021-11-01,106454
"48",2021-12-01,98658
"49",2022-01-01,83790
"50",2022-02-01,103173
"51",2022-03-01,124094
"52",2022-04-01,132180
"53",2022-05-01,132160
"54",2022-06-01,140563
"55",2022-07-01,130417
"56",2022-08-01,143396
"57",2022-09-01,155235
"58",2022-10-01,154932
"59",2022-11-01,138853
"60",2022-12-01,125769
"61",2023-01-01,126345
"62",2023-02-01,145265
"63",2023-03-01,149051
"64",2023-04-01,157264
"65",2023-05-01,153707
"66",2023-06-01,157015
"67",2023-07-01,149296
"68",2023-08-01,164875
"69",2023-09-01,165026
